year,country,GDP_Growth,Inflation_Rate,Unemployment_Rate,Productivity_Variation,recovery_2007,recovery_2019
2012,ISL,1.1693,5.1859,6.626,53.5261,15,2
2013,ISL,3.597,3.8723,5.841,55.4787,15,2
2014,ISL,1.9138,2.0446,5.404,57.2809,15,2
2015,ISL,3.7686,1.6331,4.501,60.3031,15,2
2016,ISL,6.2181,1.6969,3.345,63.4192,15,2
2017,ISL,3.4851,1.7604,3.284,65.3167,15,2
2018,ISL,4.6608,2.6829,3.105,67.5999,15,2
2019,ISL,1.1382,3.014,3.923,73.7419,15,2
2020,ISL,-6.6459,2.8479,6.424,73.7761,15,2
2021,ISL,5.1806,4.4442,5.988,81.8363,15,2
2022,ISL,8.8573,8.3088,3.732,93.355,15,2
2023,ISL,5.0323,8.7363,3.363,95.8664,15,2
2024,ISL,-1.2829,5.8568,3.558,98.5791,15,2
2000,ISR,8.6889,1.0326,11.042,29.712,14,2
2002,ISR,-0.1052,5.8023,12.785,31.7595,14,2
2003,ISR,1.3177,0.7076,13.386,30.5571,14,2
2004,ISR,4.6901,-0.4216,12.913,32.5404,14,2
2005,ISR,4.6424,1.3407,11.262,31.7098,14,2
2006,ISR,5.3922,2.0541,10.649,32.2929,14,2
2007,ISR,6.3266,0.4662,9.343,33.5363,14,2
2008,ISR,3.3574,4.5274,7.687,32.7132,14,2
2009,ISR,1.0977,3.3676,9.485,32.9347,14,2
2010,ISR,5.5125,2.7027,8.459,34.2108,14,2
2011,ISR,5.666,3.4884,7.133,35.9778,14,2
2012,ISR,2.3966,1.6755,6.857,36.918,14,2
2013,ISR,4.1269,1.5898,6.208,39.3772,14,2
2014,ISR,3.9965,0.4676,5.89,39.2058,14,2
2015,ISR,1.965,-0.6173,5.251,40.2973,14,2
2016,ISR,4.1823,-0.5352,4.798,42.1905,14,2
2017,ISR,4.4173,0.2498,4.215,43.4274,14,2
2018,ISR,4.2123,0.8051,3.998,44.4319,14,2
2019,ISR,3.5077,0.8176,3.803,46.2784,14,2
2020,ISR,-1.6042,-0.5753,4.326,50.9565,14,2
2021,ISR,9.3353,1.4797,4.956,54.5874,14,2
2022,ISR,6.2079,4.4116,3.756,60.3406,14,2
2023,ISR,1.9293,4.2252,3.423,60.5115,14,2
2024,ISR,0.6302,3.0748,2.971,63.5959,14,2
2000,ITA,3.8821,2.5377,10.518,37.0813,3,2
2002,ITA,0.2699,2.4653,8.985,38.6237,3,2
2003,ITA,0.0666,2.6726,8.651,39.1291,3,2
2004,ITA,1.474,2.2067,7.998,39.665,3,2
2005,ITA,0.7624,1.9853,7.73,40.5208,3,2
2006,ITA,1.7995,2.0908,6.777,42.9363,3,2
2007,ITA,1.4623,1.8297,6.075,44.6966,3,2
2008,ITA,-1.0231,3.3478,6.723,46.9579,3,2
2009,ITA,-5.3052,0.7748,7.749,47.6441,3,2
2010,ITA,1.5292,1.5255,8.363,48.8029,3,2
2011,ITA,0.6955,2.7806,8.359,50.9512,3,2
2012,ITA,-3.1252,3.0414,10.655,52.2156,3,2
2013,ITA,-1.8181,1.22,12.149,53.9711,3,2
2014,ITA,-0.0014,0.2411,12.683,54.3429,3,2
2015,ITA,0.8857,0.0388,11.896,54.8984,3,2
2016,ITA,1.2362,-0.0941,11.688,58.3423,3,2
2017,ITA,1.6038,1.2265,11.211,59.9667,3,2
2018,ITA,0.8266,1.1375,10.538,61.2828,3,2
2019,ITA,0.4291,0.6112,9.884,65.4261,3,2
2020,ITA,-8.8682,-0.1377,9.192,70.2616,3,2
2021,ITA,8.931,1.8738,9.497,71.098,3,2
2022,ITA,4.8211,8.2013,8.069,76.8155,3,2
2023,ITA,0.9228,5.6222,7.627,77.0889,3,2
2024,ITA,0.783,0.9824,6.499,79.3402,3,2
2000,JPN,2.9783,-0.7,4.774,28.9699,3,2
2002,JPN,0.085,-0.9,5.38,31.4035,3,2
2003,JPN,1.3801,-0.3,5.224,32.2809,3,2
2004,JPN,2.1129,0.0,4.683,33.944,3,2
2005,JPN,1.8483,-0.3,4.407,35.2983,3,2
2006,JPN,1.5463,0.3,4.101,36.4878,3,2
2007,JPN,1.7283,0.0,3.882,37.7516,3,2
2008,JPN,-1.1666,1.4,3.985,38.4076,3,2
2009,JPN,-5.9359,-1.4,5.035,38.1775,3,2
2010,JPN,4.1365,-0.7,5.024,39.8309,3,2
2011,JPN,-0.2004,-0.3,4.521,40.9929,3,2
2012,JPN,1.6489,0.0,4.348,42.3825,3,2
2013,JPN,1.9973,0.4,4.058,44.4424,3,2
2014,JPN,0.9059,2.7,3.612,44.5035,3,2
2015,JPN,1.8,0.8,3.349,46.1788,3,2
2016,JPN,0.705,-0.1,3.128,45.5088,3,2
2017,JPN,1.6235,0.4842,2.813,46.0729,3,2
2018,JPN,0.8341,0.9891,2.445,46.7751,3,2
2019,JPN,-0.3085,0.4688,2.354,47.9106,3,2
2020,JPN,-4.2833,-0.025,2.781,49.1351,3,2
2021,JPN,3.5642,-0.025,2.828,50.8443,3,2
2022,JPN,1.3317,-0.025,2.579,54.0223,3,2
2023,JPN,0.7208,-0.025,2.599,56.2659,3,2
2024,JPN,-0.1684,-0.025,2.515,56.2659,3,2
2000,LTU,3.4186,0.9816,16.404,12.7628,8,2
2002,LTU,6.7198,0.2815,13.737,15.9822,8,2
2003,LTU,10.5519,-1.1343,12.441,18.0091,8,2
2004,LTU,6.502,1.1641,10.883,18.5674,8,2
2005,LTU,7.7314,2.6585,8.325,20.056,8,2
2006,LTU,7.3955,3.7391,5.78,22.5299,8,2
2007,LTU,11.0779,5.7372,4.25,24.9541,8,2
2008,LTU,2.5995,10.9259,5.826,26.7562,8,2
2009,LTU,-14.8386,4.453,13.785,26.0405,8,2
2010,LTU,0.4272,1.3192,17.814,28.9312,8,2
2011,LTU,6.3236,4.1303,15.39,32.64,8,2
2012,LTU,4.3829,3.09,13.365,34.2593,8,2
2013,LTU,4.0469,1.0475,11.77,36.5245,8,2
2014,LTU,3.7725,0.1038,10.698,37.6044,8,2
2015,LTU,2.8328,-0.8841,9.12,37.3559,8,2
2016,LTU,2.6719,0.9055,7.862,38.0256,8,2
2017,LTU,4.6122,3.7229,7.073,42.2369,8,2
2018,LTU,4.9184,2.6979,6.147,44.6956,8,2
2019,LTU,4.6774,2.3345,6.255,49.2352,8,2
2020,LTU,0.0428,1.1999,8.487,53.0937,8,2
2021,LTU,6.3948,4.6835,7.112,57.3778,8,2
2022,LTU,2.4653,19.705,5.956,60.4808,8,2
2023,LTU,0.7395,9.1173,6.841,60.3948,8,2
2024,LTU,3.0302,0.7157,7.095,63.0678,8,2
2000,LUX,6.9381,3.1508,2.345,56.777,8,2
2002,LUX,3.2253,2.0741,2.621,57.3891,8,2
2003,LUX,2.6193,2.0498,3.675,58.6076,8,2
2004,LUX,4.2307,2.2257,5.113,62.4182,8,2
2005,LUX,2.4825,2.4877,4.488,66.4118,8,2
2006,LUX,6.0166,2.6663,4.731,74.5166,8,2
2007,LUX,8.0985,2.3125,4.065,77.5506,8,2
2008,LUX,-0.3023,3.4019,5.06,80.5451,8,2
2009,LUX,-3.239,0.368,5.122,80.8149,8,2
2010,LUX,3.7604,2.2737,4.361,83.8697,8,2
2011,LUX,1.0443,3.4107,4.902,87.1832,8,2
2012,LUX,1.6497,2.6628,5.14,89.5128,8,2
2013,LUX,3.1717,1.734,5.848,94.4354,8,2
2014,LUX,2.6231,0.6285,5.852,98.0554,8,2
2015,LUX,2.2684,0.4747,6.669,99.8112,8,2
2016,LUX,4.9782,0.2908,6.291,104.1024,8,2
2017,LUX,1.3171,1.7308,5.522,105.2012,8,2
2018,LUX,1.6113,1.5282,5.586,105.7574,8,2
2019,LUX,2.7493,1.7433,5.595,108.7594,8,2
2020,LUX,-0.5101,0.82,6.773,117.5576,8,2
2021,LUX,6.9297,2.5269,5.247,122.2841,8,2
2022,LUX,-1.0974,6.336,4.585,126.9565,8,2
2023,LUX,0.0994,3.7414,5.184,126.4536,8,2
2024,LUX,0.3586,2.0511,6.421,134.4663,8,2
2000,LVA,5.841,2.6543,14.259,10.7781,8,2
2002,LVA,7.6655,1.9389,12.481,12.8508,8,2
2003,LVA,8.4291,2.9426,11.641,13.7398,8,2
2004,LVA,8.7251,6.1924,11.746,15.3751,8,2
2005,LVA,11.6153,6.7485,10.033,16.7334,8,2
2006,LVA,12.825,6.5362,7.03,17.7795,8,2
2007,LVA,10.4145,10.093,6.052,19.9229,8,2
2008,LVA,-3.3887,15.4023,7.739,21.9613,8,2
2009,LVA,-16.04,3.5341,17.515,22.9851,8,2
2010,LVA,-3.6613,-1.0846,19.482,25.4834,8,2
2011,LVA,3.0363,4.3707,16.206,26.2375,8,2
2012,LVA,7.3052,2.2578,15.047,28.3728,8,2
2013,LVA,2.0961,-0.0295,11.867,29.3534,8,2
2014,LVA,2.095,0.6205,10.846,30.8207,8,2
2015,LVA,3.7834,0.1742,9.873,32.2834,8,2
2016,LVA,2.5517,0.1406,9.643,34.2862,8,2
2017,LVA,3.3989,2.9304,8.715,36.7332,8,2
2018,LVA,4.3097,2.5345,7.412,38.271,8,2
2019,LVA,0.6754,2.8114,6.312,40.2394,8,2
2020,LVA,-3.4692,0.2191,8.098,43.2517,8,2
2021,LVA,6.9425,3.2758,7.513,48.1519,8,2
2022,LVA,1.9085,17.3103,6.815,50.8413,8,2
2023,LVA,-0.9416,8.9381,6.465,53.2258,8,2
2024,LVA,-0.0371,1.2658,6.884,55.5267,8,2
2000,MEX,5.0293,9.4916,2.564,13.1142,3,2
2002,MEX,-0.2366,5.0307,2.864,13.096,3,2
2003,MEX,1.1855,4.5469,2.964,13.8498,3,2
2004,MEX,3.5654,4.6884,3.66,14.368,3,2
2005,MEX,2.1132,3.9881,3.558,14.707,3,2
2006,MEX,4.805,3.6295,3.566,15.9497,3,2
2007,MEX,2.0779,3.9668,3.645,16.5364,3,2
2008,MEX,0.9433,5.125,3.904,17.5162,3,2
2009,MEX,-6.2953,5.2974,5.379,17.0895,3,2
2010,MEX,4.9713,4.1567,5.329,17.8757,3,2
2011,MEX,3.444,3.4074,5.195,19.3157,3,2
2012,MEX,3.5532,4.1115,4.923,19.8644,3,2
2013,MEX,0.8521,3.8064,4.943,20.0256,3,2
2014,MEX,2.5038,4.0186,4.831,20.9198,3,2
2015,MEX,2.7023,2.7206,4.336,20.8666,3,2
2016,MEX,1.7725,2.8217,3.885,21.709,3,2
2017,MEX,1.8717,6.0415,3.438,21.9918,3,2
2018,MEX,1.9721,4.8994,3.301,22.0357,3,2
2019,MEX,-0.3927,3.636,3.505,21.796,3,2
2020,MEX,-8.354,3.3968,4.369,21.9468,3,2
2021,MEX,6.0485,5.6892,4.111,21.8328,3,2
2022,MEX,3.7098,7.8963,3.274,23.7086,3,2
2023,MEX,3.1068,5.528,2.788,24.9715,3,2
2024,MEX,1.3506,5.528,2.696,24.9715,3,2
2000,NLD,4.2278,2.3605,3.047,41.6074,14,2
2002,NLD,0.2462,3.2875,3.066,45.3731,14,2
2003,NLD,0.0982,2.092,4.829,45.7506,14,2
2004,NLD,2.0134,1.2636,5.658,48.3821,14,2
2005,NLD,2.0288,1.6881,5.875,50.9465,14,2
2006,NLD,3.539,1.1015,5.006,54.5248,14,2
2007,NLD,3.8821,1.6139,4.155,56.8432,14,2
2008,NLD,2.1267,2.4865,3.657,59.5096,14,2
2009,NLD,-3.6702,1.1898,4.351,58.4302,14,2
2010,NLD,1.3168,1.2753,4.989,59.6533,14,2
2011,NLD,1.7769,2.3411,4.977,61.7606,14,2
2012,NLD,-0.9774,2.4555,5.821,63.2459,14,2
2013,NLD,-0.0321,2.5069,8.187,66.4709,14,2
2014,NLD,1.6124,0.976,8.318,66.6208,14,2
2015,NLD,2.121,0.6002,7.866,67.8619,14,2
2016,NLD,2.4248,0.3167,6.988,69.6134,14,2
2017,NLD,2.7829,1.3815,5.855,71.9502,14,2
2018,NLD,2.2602,1.7035,4.869,73.9792,14,2
2019,NLD,2.3,2.6337,4.422,77.0805,14,2
2020,NLD,-3.8766,1.2725,4.837,80.9361,14,2
2021,NLD,6.2778,2.6757,4.21,85.8518,14,2
2022,NLD,5.0072,10.0012,3.524,93.6346,14,2
2023,NLD,-0.6006,3.8384,3.537,92.8923,14,2
2024,NLD,1.0731,3.3475,3.627,100.3453,14,2
2000,NOR,3.4434,3.0855,3.331,49.554,14,2
2002,NOR,1.4575,1.2867,3.762,52.7667,14,2
2003,NOR,1.0964,2.4878,4.045,55.1672,14,2
2004,NOR,4.3302,0.4545,4.184,60.0522,14,2
2005,NOR,2.9697,1.5321,4.381,66.9378,14,2
2006,NOR,2.8473,2.3293,3.399,74.1578,14,2
2007,NOR,3.4203,0.7126,2.493,73.9012,14,2
2008,NOR,0.8228,3.7539,2.55,79.7994,14,2
2009,NOR,-1.6133,2.1974,3.103,73.8025,14,2
2010,NOR,1.0049,2.4189,3.521,78.0078,14,2
2011,NOR,1.385,1.285,3.215,83.276,14,2
2012,NOR,2.824,0.6969,3.123,87.2801,14,2
2013,NOR,1.2729,2.1205,3.423,90.1144,14,2
2014,NOR,2.0952,2.0417,3.484,88.6256,14,2
2015,NOR,2.0443,2.1711,4.296,81.56,14,2
2016,NOR,1.2916,3.55,4.679,79.8722,14,2
2017,NOR,2.6696,1.8751,4.162,87.3941,14,2
2018,NOR,1.1104,2.7648,3.8,94.1667,14,2
2019,NOR,1.4697,2.1677,3.687,94.3022,14,2
2020,NOR,-1.3606,1.2866,4.422,91.7225,14,2
2021,NOR,4.1432,3.4839,4.369,119.5367,14,2
2022,NOR,4.0804,5.7641,3.232,161.2782,14,2
2023,NOR,0.3527,5.5178,3.573,132.2771,14,2
2024,NOR,1.4237,3.1453,3.982,133.9407,14,2
2000,NZL,4.2125,2.6152,6.131,25.672,7,2
2002,NZL,4.7063,2.6771,5.282,27.0928,7,2
2003,NZL,4.4249,1.7536,4.745,27.7184,7,2
2004,NZL,4.8442,2.2902,4.005,28.3987,7,2
2005,NZL,3.2148,3.037,3.807,28.4086,7,2
2006,NZL,2.8153,3.3654,3.857,30.7282,7,2
2007,NZL,3.4878,2.3761,3.661,32.8585,7,2
2008,NZL,-0.159,3.9589,4.167,33.199,7,2
2009,NZL,-1.0568,2.1157,6.122,35.6085,7,2
2010,NZL,1.7414,2.302,6.556,35.9897,7,2
2011,NZL,1.7,4.0279,6.491,37.6755,7,2
2012,NZL,2.5352,1.0599,6.93,38.6759,7,2
2013,NZL,2.1311,1.1344,5.839,41.029,7,2
2014,NZL,3.7876,1.2275,5.429,41.3933,7,2
2015,NZL,3.6471,0.2927,5.415,41.7321,7,2
2016,NZL,3.9513,0.6462,5.146,43.3279,7,2
2017,NZL,3.2901,1.8508,4.737,44.8486,7,2
2018,NZL,3.3349,1.5983,4.335,45.1393,7,2
2019,NZL,2.9763,1.6196,4.109,47.2534,7,2
2020,NZL,-1.2197,1.7146,4.596,49.3238,7,2
2021,NZL,5.4268,3.9411,3.78,51.4126,7,2
2022,NZL,2.6303,7.1722,3.3,55.5095,7,2
2023,NZL,2.1641,5.7332,3.732,55.4181,7,2
2024,NZL,-0.3048,2.9228,4.716,55.4181,7,2
2000,POL,4.6562,10.0917,16.37,15.2016,14,2
2002,POL,1.9011,1.9417,19.932,17.723,14,2
2003,POL,3.5234,0.8417,19.644,18.6089,14,2
2004,POL,5.0908,3.4917,18.972,20.0034,14,2
2005,POL,3.2608,2.1333,17.747,20.3859,14,2
2006,POL,6.2021,1.0333,13.841,21.5325,14,2
2007,POL,6.7604,2.4917,9.604,22.8291,14,2
2008,POL,4.3838,4.2167,7.117,24.0995,14,2
2009,POL,2.6151,3.45,8.166,25.4199,14,2
2010,POL,3.1689,2.5833,9.636,28.4094,14,2
2011,POL,5.2554,4.2667,9.631,30.7869,14,2
2012,POL,1.5118,3.7,10.088,32.0733,14,2
2013,POL,0.6843,0.9,10.326,33.0902,14,2
2014,POL,3.9205,-0.025,8.99,33.7595,14,2
2015,POL,4.4318,-0.9333,7.501,35.1043,14,2
2016,POL,3.0312,-0.5833,6.161,36.5217,14,2
2017,POL,5.1525,1.975,4.888,38.7634,14,2
2018,POL,6.2459,1.6667,3.846,41.8945,14,2
2019,POL,4.5805,2.3083,3.237,45.1398,14,2
2020,POL,-2.0356,3.4,3.155,46.4624,14,2
2021,POL,6.9272,5.1,3.373,47.9686,14,2
2022,POL,5.2555,14.3,2.876,53.2791,14,2
2023,POL,0.2496,11.5667,2.819,54.1595,14,2
2024,POL,3.2487,3.65,2.885,59.2708,14,2
2000,PRT,3.8162,2.853,3.928,21.6461,10,2
2002,PRT,0.7709,3.6003,5.0,23.4261,10,2
2003,PRT,-0.9305,3.219,6.263,24.4121,10,2
2004,PRT,1.7887,2.3654,6.622,25.3025,10,2
2005,PRT,0.7818,2.2772,7.584,26.9154,10,2
2006,PRT,1.625,3.1077,7.648,29.3538,10,2
2007,PRT,2.5066,2.454,7.961,30.3896,10,2
2008,PRT,0.3192,2.5885,7.549,31.6324,10,2
2009,PRT,-3.1221,-0.8355,9.43,32.2886,10,2
2010,PRT,1.7376,1.4026,10.769,33.756,10,2
2011,PRT,-1.7135,3.653,13.485,34.2342,10,2
2012,PRT,-4.0509,2.7733,16.501,35.5344,10,2
2013,PRT,-0.9841,0.2744,17.152,38.2143,10,2
2014,PRT,0.7414,-0.2782,14.526,38.33,10,2
2015,PRT,1.5898,0.4879,12.905,38.5861,10,2
2016,PRT,2.0041,0.6074,11.45,40.1864,10,2
2017,PRT,3.3147,1.3686,9.17,40.7447,10,2
2018,PRT,2.9463,0.9937,7.174,41.807,10,2
2019,PRT,2.7457,0.3382,6.602,44.8862,10,2
2020,PRT,-8.2046,-0.0124,7.036,46.4937,10,2
2021,PRT,5.5588,1.2657,6.712,48.1248,10,2
2022,PRT,6.9858,7.8327,6.138,52.6026,10,2
2023,PRT,3.1,4.3113,6.499,55.6969,10,2
2024,PRT,2.2146,2.4161,6.425,59.8504,10,2
2000,SVK,0.7892,12.0358,18.777,16.5949,8,2
2002,SVK,4.4173,3.1271,18.633,20.0064,8,2
2003,SVK,4.8567,8.5541,17.516,21.5904,8,2
2004,SVK,5.3895,7.5485,18.137,22.8234,8,2
2005,SVK,6.4849,2.7091,16.172,24.1029,8,2
2006,SVK,8.9257,4.4833,13.302,26.7652,8,2
2007,SVK,10.8186,2.7567,11.017,29.2915,8,2
2008,SVK,5.3634,4.5982,9.567,31.6355,8,2
2009,SVK,-5.5053,1.6151,12.052,31.6962,8,2
2010,SVK,6.7906,0.957,14.373,35.0282,8,2
2011,SVK,2.5624,3.9193,13.606,35.7432,8,2
2012,SVK,1.5692,3.6061,13.947,36.9644,8,2
2013,SVK,0.7033,1.4005,14.216,39.1659,8,2
2014,SVK,2.708,-0.0762,13.18,40.222,8,2
2015,SVK,5.1769,-0.3252,11.473,41.1607,8,2
2016,SVK,1.9478,-0.52,9.644,40.1592,8,2
2017,SVK,2.8747,1.3119,8.131,40.3348,8,2
2018,SVK,4.0621,2.514,6.535,41.661,8,2
2019,SVK,2.2759,2.6646,5.754,44.8408,8,2
2020,SVK,-2.5855,1.9369,6.689,51.2053,8,2
2021,SVK,5.6559,3.1496,6.827,55.5224,8,2
2022,SVK,0.5446,12.7742,6.143,57.1503,8,2
2023,SVK,2.1126,10.532,5.84,60.1297,8,2
2024,SVK,1.9387,2.7576,5.335,64.7492,8,2
2000,SVN,3.4979,8.9117,6.729,22.7434,14,2
2002,SVN,3.2826,7.4808,6.312,24.8701,14,2
2003,SVN,3.195,5.5442,6.675,26.0692,14,2
2004,SVN,4.546,3.593,6.29,27.8036,14,2
2005,SVN,3.8541,2.4515,6.506,30.0323,14,2
2006,SVN,5.9088,2.4579,5.95,32.5938,14,2
2007,SVN,7.1392,3.6575,4.818,34.3171,14,2
2008,SVN,3.3722,5.6474,4.371,35.567,14,2
2009,SVN,-7.5906,0.8393,5.858,33.5947,14,2
2010,SVN,1.1121,1.8012,7.236,34.9055,14,2
2011,SVN,0.6554,1.8029,8.166,37.4135,14,2
2012,SVN,-2.9155,2.5974,8.841,38.3691,14,2
2013,SVN,-0.8238,1.7692,10.103,39.5727,14,2
2014,SVN,2.7628,0.1993,9.668,40.2239,14,2
2015,SVN,2.3933,-0.5256,8.962,40.603,14,2
2016,SVN,3.0344,-0.055,8.0,43.6366,14,2
2017,SVN,5.1744,1.4291,6.564,46.5952,14,2
2018,SVN,4.3791,1.7386,5.108,48.9454,14,2
2019,SVN,3.5053,1.6305,4.446,52.8435,14,2
2020,SVN,-4.085,-0.0549,4.971,55.1654,14,2
2021,SVN,8.4169,1.9171,4.744,57.7406,14,2
2022,SVN,2.6685,8.8337,4.011,61.8951,14,2
2023,SVN,2.3758,7.4469,3.652,65.5007,14,2
2024,SVN,1.7314,1.9656,3.697,68.0956,14,2
2000,SWE,4.6311,0.8991,5.799,40.6092,3,2
2002,SWE,2.2777,2.1585,5.208,43.0392,3,2
2003,SWE,1.881,1.9257,5.762,44.9539,3,2
2004,SWE,4.1796,0.3737,6.526,47.5411,3,2
2005,SWE,2.7932,0.4532,7.667,48.3307,3,2
2006,SWE,4.6761,1.3602,6.975,52.6149,3,2
2007,SWE,3.2249,2.2122,6.146,55.6711,3,2
2008,SWE,-0.9231,3.437,6.224,56.8264,3,2
2009,SWE,-4.2556,-0.4945,8.316,56.4973,3,2
2010,SWE,5.7508,1.158,8.578,58.2499,3,2
2011,SWE,3.1639,2.9612,7.783,60.5844,3,2
2012,SWE,-0.4144,0.8884,7.964,62.3303,3,2
2013,SWE,1.1376,-0.0443,8.027,63.8064,3,2
2014,SWE,2.2958,-0.1796,7.931,64.4974,3,2
2015,SWE,4.3882,-0.0468,7.39,66.8264,3,2
2016,SWE,2.1312,0.9843,6.944,67.7075,3,2
2017,SWE,1.8828,1.7945,6.665,69.155,3,2
2018,SWE,1.7703,1.9535,6.332,70.9536,3,2
2019,SWE,2.6082,1.7842,6.771,77.2445,3,2
2020,SWE,-1.9338,0.4974,8.304,81.1068,3,2
2021,SWE,5.2259,2.1632,8.899,86.1537,3,2
2022,SWE,1.2554,8.3693,7.494,89.0469,3,2
2023,SWE,-0.2041,8.5486,7.698,89.598,3,2
2024,SWE,1.0178,2.8358,8.398,95.4554,3,2
2000,TUR,6.9853,54.9154,6.495,16.6047,3,1
2002,TUR,6.4355,44.9641,10.358,16.7034,3,1
2003,TUR,5.7991,21.6024,10.542,17.623,3,1
2004,TUR,9.9254,8.5983,10.837,20.1048,3,1
2005,TUR,9.1116,8.1792,10.635,21.5983,3,1
2006,TUR,7.0676,9.5972,10.229,24.5217,3,1
2007,TUR,5.1082,8.7562,10.283,27.1259,3,1
2008,TUR,0.9201,10.4441,10.965,29.2997,3,1
2009,TUR,-4.8827,6.251,14.025,28.8126,3,1
2010,TUR,8.5422,8.5664,11.88,31.066,3,1
2011,TUR,10.98,6.4719,9.788,33.7843,3,1
2012,TUR,4.8076,8.8916,9.21,35.1019,3,1
2013,TUR,8.4883,7.4931,9.714,37.9481,3,1
2014,TUR,4.6008,8.8546,9.902,39.4687,3,1
2015,TUR,5.8056,7.6709,10.304,42.1055,3,1
2016,TUR,3.3237,7.7751,10.9,43.5968,3,1
2017,TUR,7.8259,11.1443,10.918,45.4499,3,1
2018,TUR,3.4682,16.3325,10.956,46.0372,3,1
2019,TUR,1.3016,15.1768,13.73,48.3853,3,1
2020,TUR,1.8031,12.279,13.148,56.9439,3,1
2021,TUR,11.8111,19.5965,11.971,52.8927,3,1
2022,TUR,5.4412,72.3088,10.433,52.8927,3,1
2023,TUR,5.0451,53.8594,9.351,52.8927,3,1
2024,TUR,3.3276,58.5064,8.712,52.8927,3,1
2000,USA,4.0776,3.3769,3.992,40.617,3,2
2002,USA,1.7004,1.586,5.783,44.3188,3,2
2003,USA,2.7956,2.2701,5.989,46.5577,3,2
2004,USA,3.8478,2.6772,5.529,49.0625,3,2
2005,USA,3.4836,3.3927,5.083,51.6639,3,2
2006,USA,2.7845,3.2259,4.624,53.7429,3,2
2007,USA,2.0039,2.8527,4.622,56.0419,3,2
2008,USA,0.1136,3.8391,5.784,57.7916,3,2
2009,USA,-2.5765,-0.3555,9.256,60.0548,3,2
2010,USA,2.6952,1.64,9.632,62.3582,3,2
2011,USA,1.5644,3.1568,8.95,63.7111,3,2
2012,USA,2.2891,2.0693,8.069,65.1587,3,2
2013,USA,2.1178,1.4648,7.375,66.7194,3,2
2014,USA,2.5238,1.6222,6.167,68.2923,3,2
2015,USA,2.9455,0.1186,5.281,69.5107,3,2
2016,USA,1.8195,1.2616,4.87,70.4441,3,2
2017,USA,2.4576,2.1301,4.356,72.516,3,2
2018,USA,2.9665,2.4426,3.896,75.1384,3,2
2019,USA,2.5838,1.8122,3.668,77.4193,3,2
2020,USA,-2.0814,1.2336,8.055,82.0315,3,2
2021,USA,6.152,4.6979,5.349,87.0132,3,2
2022,USA,2.5242,8.0028,3.649,92.2214,3,2
2023,USA,2.9344,4.1163,3.639,97.0467,3,2
2024,USA,2.7932,2.9495,4.022,97.0467,3,2
